ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
346289346,2026-03-31T13:22:47,2026-03-31T13:31:25,sell,0.05,0.05,BTCUSDm,66714.18,66935.91,66921.99,65708.16,,,-11.09,,,sl
342250673,2026-03-25T16:52:43,2026-03-25T17:05:50,buy,0.02,0.02,BTCUSDm,71318.01,71192.43000000001,71194.58,72482.75,,,-2.51,,,sl
340487723,2026-03-24T02:35:55,2026-03-24T02:40:04,buy,0.06,0.06,BTCUSDm,70581.73,70374.27,70407.72,71140.72,,,-12.44,,,sl
340246772,2026-03-23T17:52:41,2026-03-23T19:16:32,buy,0.06,0.06,BTCUSDm,71063.24,70819.08,70819.08,71806.76,,,-14.65,,,sl
340033918,2026-03-23T14:30:02,2026-03-23T14:33:05,sell,0.02,0.02,BTCUSDm,71318.43,71352.68000000001,71851.06,69651.91,,,-0.68,,,user
338665311,2026-03-20T19:55:19,2026-03-21T16:28:51,buy,0.03,0.03,BTCUSDm,70132.13,70372.9,70372.9,73311.03,,,7.23,,,sl
338663560,2026-03-20T19:50:06,2026-03-20T19:51:56,sell,0.02,0.02,XAUUSDm,4506.049,4508.428,4515.124,4479.373,,,-4.76,,,user
338209961,2026-03-20T11:38:05,2026-03-20T13:44:54,sell,0.03,0.03,BTCUSDm,70489.74,70311,70831.02,68761,,,5.36,,,user
338246991,2026-03-20T12:26:13,2026-03-20T12:51:47,sell,0.01,0.01,XAUUSDm,4680.664,4678.732,4693.273,4640.306,,,1.93,,,user
337888679,2026-03-20T05:25:39,2026-03-20T08:07:06,sell,0.03,0.03,BTCUSDm,70688.43,70960.5,70960.5,68679.55,,,-8.17,,,sl
337491948,2026-03-19T15:32:55,2026-03-19T16:03:54,sell,0.03,0.03,BTCUSDm,69234.46,69517.36,69833.76,67209.2,,,-8.49,,,user
337491515,2026-03-19T15:32:35,2026-03-19T15:32:55,sell,0.03,0.03,BTCUSDm,69241.41,69252.46,69833.76,,,,-0.33,,,user
336733700,2026-03-19T05:10:51,2026-03-19T05:19:19,sell,0.02,0.02,XAUUSDm,4848.705,4853.979,4853.979,4825.471,,,-10.55,,,sl
335801646,2026-03-18T07:44:33,2026-03-18T10:35:34,sell,0.01,0.01,XAUUSDm,5002.713,4971.968,5010.452,4971.968,,,30.74,,,tp
334446004,2026-03-16T13:10:01,2026-03-16T13:30:37,buy,0.03,0.03,XAUUSDm,5021.27,5021.8820000000005,5013.547,5041.406,,,1.84,,,user
332866336,2026-03-13T03:49:27,2026-03-13T04:20:39,buy,0.03,0.03,XAUUSDm,5116.948,5110.071,5110.071,5137.482,,,-20.63,,,sl
332453841,2026-03-12T14:11:56,2026-03-12T14:38:28,sell,0.01,0.01,XAUUSDm,5156.596,5141.768,5163.707,5136.278,,,14.83,,,user
331917443,2026-03-12T01:06:53,2026-03-12T02:52:45,sell,0.03,0.03,BTCUSDm,69924.16,69253.14,70249.17,69253.14,,,20.13,,,tp
331775455,2026-03-11T17:19:12,2026-03-11T17:39:34,sell,0.01,0.01,XAUUSDm,5172.013,5163.711,5163.711,5151.756,,,8.3,,,sl
331132984,2026-03-11T04:09:52,2026-03-11T04:53:02,sell,0.07,0.07,BTCUSDm,69528.47,70226.69,70226,65929.3,,,-48.88,,,sl
330917575,2026-03-10T18:45:48,2026-03-10T18:47:02,sell,0.01,0.01,XAUUSDm,5196.214,5203.643,5203.643,,,,-7.43,,,sl
330815465,2026-03-10T16:00:12,2026-03-10T16:19:35,buy,0.04,0.04,BTCUSDm,71415.1,71429.36,70898.82,72928.59,,,0.57,,,user
330691221,2026-03-10T14:00:31,2026-03-10T14:35:41,sell,0.07,0.07,BTCUSDm,69916.11,69986.49,70215.1,69049.47,,,-4.92,,,user
330436393,2026-03-10T09:00:38,2026-03-10T09:12:45,sell,0.05,0.05,BTCUSDm,70649.78,70926.62,70925.21,68599.21,,,-13.84,,,sl
330392219,2026-03-10T08:02:34,2026-03-10T08:07:09,buy,0.02,0.02,BTCUSDm,70473.38,70500.72,69400.68,73526.48,,,0.54,,,user
330326569,2026-03-10T06:30:58,2026-03-10T07:33:08,buy,0.05,0.05,BTCUSDm,70138.08,70311.40000000001,69721.67,71343.01,,,8.67,,,user
330287941,2026-03-10T05:15:09,2026-03-10T06:28:57,buy,0.03,0.03,XAUUSDm,5172.919,5173.474,5166.585,5193.201,,,1.66,,,user
329859362,2026-03-09T14:26:06,2026-03-09T14:36:30,buy,0.04,0.04,BTCUSDm,69240.11,69312.5,68732.05,70747.12,,,2.9,,,user
