Date,Order ID,Pair,Type,Side,Lot Size,Price,Margin Mode,Status,Net P&L
"2026-07-31T16:14:14.559Z","132682340","XAU/USD","stop_loss","buy","0.100","4046.91","cross","filled","-25.14"
"2026-07-31T16:14:14.464Z","132680822","XAU/USD","stop_loss","buy","0.100","4046.91","cross","cancelled",""
"2026-07-31T16:14:14.464Z","132681034","XAU/USD","take_profit","buy","0.100","4032.83","cross","cancelled",""
"2026-07-31T16:14:14.464Z","132681035","XAU/USD","stop_loss","buy","0.100","4046.91","cross","cancelled",""
"2026-07-31T16:14:14.464Z","132682339","XAU/USD","take_profit","buy","0.100","4024.08","cross","cancelled",""
"2026-07-31T16:00:25.897Z","132680732","XAU/USD","market","sell","0.100","4044.40","cross","filled",""
"2026-07-31T15:15:33.690Z","132649087","XAU/USD","stop_loss","buy","0.030","4050.86","cross","filled","-18.87"
"2026-07-31T15:15:33.367Z","132648660","XAU/USD","stop_loss","buy","0.030","4050.86","cross","cancelled",""
"2026-07-31T15:15:33.367Z","132648799","XAU/USD","take_profit","buy","0.030","4021.45","cross","cancelled",""
"2026-07-31T15:15:33.367Z","132648800","XAU/USD","stop_loss","buy","0.030","4050.86","cross","cancelled",""
"2026-07-31T15:15:33.367Z","132648900","XAU/USD","take_profit","buy","0.030","4011.14","cross","cancelled",""
"2026-07-31T15:15:33.367Z","132648901","XAU/USD","stop_loss","buy","0.030","4050.86","cross","cancelled",""
"2026-07-31T15:15:33.367Z","132649086","XAU/USD","take_profit","buy","0.030","4011.01","cross","cancelled",""
"2026-07-31T15:05:52.264Z","132648459","XAU/USD","market","sell","0.030","4044.57","cross","filled",""
"2026-07-29T16:23:09.550Z","131562007","XAU/USD","stop_loss","buy","0.030","4016.12","cross","filled","-21.98"
"2026-07-29T16:23:09.416Z","131561783","XAU/USD","stop_loss","buy","0.030","4016.12","cross","cancelled",""
"2026-07-29T16:23:09.416Z","131561834","XAU/USD","take_profit","buy","0.030","3975.17","cross","cancelled",""
"2026-07-29T16:23:09.416Z","131561835","XAU/USD","stop_loss","buy","0.030","4016.12","cross","cancelled",""
"2026-07-29T16:23:09.416Z","131561976","XAU/USD","take_profit","buy","0.030","3908.33","cross","cancelled",""
"2026-07-29T16:23:09.416Z","131561977","XAU/USD","stop_loss","buy","0.030","4016.12","cross","cancelled",""
"2026-07-29T16:23:09.416Z","131562006","XAU/USD","take_profit","buy","0.030","3908.53","cross","cancelled",""
"2026-07-29T16:15:16.538Z","131561688","XAU/USD","market","sell","0.030","4008.79","cross","filled",""
"2026-07-29T16:08:54.035Z","131553211","XAU/USD","stop_loss","buy","0.060","4014.26","cross","filled","-23.53"
"2026-07-29T16:08:53.918Z","131552899","XAU/USD","stop_loss","buy","0.060","4014.26","cross","cancelled",""
"2026-07-29T16:08:53.918Z","131553210","XAU/USD","take_profit","buy","0.060","3985.30","cross","cancelled",""
"2026-07-29T15:56:05.392Z","131552834","XAU/USD","market","sell","0.060","4010.34","cross","filled",""
"2026-07-29T15:50:20.576Z","131544967","XAU/USD","stop_loss","buy","0.050","4013.89","cross","filled","-23.55"
"2026-07-29T15:50:20.450Z","131544281","XAU/USD","stop_loss","buy","0.050","4013.89","cross","cancelled",""
"2026-07-29T15:50:20.450Z","131544470","XAU/USD","take_profit","buy","0.050","3987.16","cross","cancelled",""
"2026-07-29T15:50:20.450Z","131544471","XAU/USD","stop_loss","buy","0.050","4013.89","cross","cancelled",""
"2026-07-29T15:50:20.450Z","131544966","XAU/USD","take_profit","buy","0.050","3985.17","cross","cancelled",""
"2026-07-29T15:38:44.428Z","131544177","XAU/USD","market","sell","0.050","4009.18","cross","filled",""
"2026-07-28T15:43:28.821Z","131025496","XAU/USD","stop_loss","buy","0.030","4041.06","cross","filled","-20.43"
"2026-07-28T15:43:28.691Z","131025276","XAU/USD","stop_loss","buy","0.030","4041.06","cross","cancelled",""
"2026-07-28T15:43:28.691Z","131025373","XAU/USD","take_profit","buy","0.030","4008.97","cross","cancelled",""
"2026-07-28T15:43:28.691Z","131025374","XAU/USD","stop_loss","buy","0.030","4041.06","cross","cancelled",""
"2026-07-28T15:43:28.691Z","131025495","XAU/USD","take_profit","buy","0.030","4000.63","cross","cancelled",""
"2026-07-28T15:30:57.482Z","131025169","XAU/USD","market","sell","0.030","4034.25","cross","filled",""
"2026-07-28T15:20:29.755Z","131002307","XAU/USD","stop_loss","buy","0.030","4038.77","cross","filled","-20.18"
"2026-07-28T15:20:29.493Z","130909234","XAU/USD","stop_loss","buy","0.030","4038.77","cross","cancelled",""
"2026-07-28T15:20:29.493Z","130909357","XAU/USD","take_profit","buy","0.030","3998.62","cross","cancelled",""
"2026-07-28T15:20:29.493Z","130909358","XAU/USD","stop_loss","buy","0.030","4038.77","cross","cancelled",""
"2026-07-28T15:20:29.493Z","131002306","XAU/USD","take_profit","buy","0.030","3998.56","cross","cancelled",""
"2026-07-28T12:55:45.950Z","130909139","XAU/USD","market","sell","0.030","4032.04","cross","filled",""
"2026-07-28T07:20:10.531Z","130737372","XAU/USD","stop_loss","buy","0.030","4052.35","cross","filled","-11.44"
"2026-07-28T07:20:10.426Z","130736979","XAU/USD","stop_loss","buy","0.030","4052.35","cross","cancelled",""
"2026-07-28T07:20:10.426Z","130737195","XAU/USD","take_profit","buy","0.030","4032.31","cross","cancelled",""
"2026-07-28T07:20:10.426Z","130737196","XAU/USD","stop_loss","buy","0.030","4052.35","cross","cancelled",""
"2026-07-28T07:20:10.426Z","130737282","XAU/USD","take_profit","buy","0.030","4026.33","cross","cancelled",""
"2026-07-28T07:20:10.426Z","130737283","XAU/USD","stop_loss","buy","0.030","4052.35","cross","cancelled",""
"2026-07-28T07:20:10.426Z","130737371","XAU/USD","take_profit","buy","0.030","4014.96","cross","cancelled",""
"2026-07-28T06:46:59.426Z","130736791","XAU/USD","market","sell","0.030","4048.54","cross","filled",""
"2026-07-28T00:04:39.232Z","130600000","XAU/USD","market","buy","0.050","4069.80","cross","filled","99.99"
"2026-07-28T00:04:39.203Z","130532284","XAU/USD","stop_loss","buy","0.050","4094.16","cross","cancelled",""
"2026-07-28T00:04:39.203Z","130533642","XAU/USD","take_profit","buy","0.050","4069.75","cross","cancelled",""
"2026-07-28T00:04:39.203Z","130533643","XAU/USD","stop_loss","buy","0.050","4094.16","cross","cancelled",""
"2026-07-28T00:04:39.203Z","130597420","XAU/USD","take_profit","buy","0.050","4056.40","cross","cancelled",""
"2026-07-28T00:04:39.203Z","130597421","XAU/USD","stop_loss","buy","0.050","4094.16","cross","cancelled",""
"2026-07-28T00:04:39.203Z","130597451","XAU/USD","take_profit","buy","0.050","4049.01","cross","cancelled",""
