Symbol,Side,Qty,Price,Close Price,Stop Loss,Take Profit,Open Time,Close Time,Fee,Setup,Timeframe,Order ID
BTCUSDT,SELL,0.2777,59681.92,60030.29,60042.02,58782.98,2026-05-04 19:30:00,2026-05-04 21:55:00,19.95,Breaker,1h,90210021
BTCUSDT,BUY,0.3018,59206.06,59802.94,58874.71,60084.95,2026-05-04 23:30:00,2026-05-05 04:30:00,21.55,Order block,15m,90210026
BTCUSDT,BUY,0.2577,60735.65,61619.36,60347.53,61456.38,2026-05-04 13:30:00,2026-05-04 15:55:00,18.92,Order block,5m,90210034
LINKUSDT,SELL,434.78,16.23,15.77,16.46,15.56,2026-05-05 16:30:00,2026-05-05 17:30:00,8.35,Order block,4h,90210063
SOLUSDT,BUY,53.76,144.75,148.33,142.89,149.02,2026-05-06 12:00:00,2026-05-06 13:00:00,9.45,Liquidity sweep,1h,90210066
ETHUSDT,BUY,2.1556,3061.84,3144.3,3015.45,3151.21,2026-05-06 20:30:00,2026-05-07 01:30:00,8.03,FVG,4h,90210098
ETHUSDT,BUY,2.2178,2784.47,2740.25,2739.38,2905.83,2026-05-06 13:45:00,2026-05-06 16:10:00,7.35,Liquidity sweep,15m,90210104
LINKUSDT,BUY,500.0,16.66,16.48,16.46,17.21,2026-05-06 21:30:00,2026-05-06 23:55:00,9.94,Breaker,15m,90210144
ETHUSDT,SELL,4.0112,2975.87,2999.81,3000.8,2896.93,2026-05-07 06:05:00,2026-05-07 07:05:00,14.38,Liquidity sweep,4h,90210155
ETHUSDT,BUY,6.3573,3006.18,2991.73,2990.45,3055.74,2026-05-08 13:30:00,2026-05-08 18:30:00,22.88,Liquidity sweep,15m,90210195
LINKUSDT,BUY,555.56,14.9,14.73,14.72,15.42,2026-05-11 14:30:00,2026-05-11 14:55:00,9.88,Order block,15m,90210200
SOLUSDT,BUY,86.21,139.07,140.95,137.91,141.5,2026-05-11 14:20:00,2026-05-11 15:20:00,14.48,BOS retest,15m,90210220
BTCUSDT,SELL,0.1508,61646.67,60579.41,62309.74,60495.11,2026-05-12 12:45:00,2026-05-12 13:10:00,11.06,Order block,1h,90210240
ETHUSDT,BUY,2.4845,3110.28,3046.99,3070.03,3213.47,2026-05-12 13:00:00,2026-05-12 14:00:00,9.18,Order block,1h,90210264
BTCUSDT,BUY,0.1698,56030.27,55475.96,55441.33,57073.21,2026-05-12 18:45:00,2026-05-12 19:45:00,11.36,Order block,4h,90210285
XRPUSDT,SELL,8403.36,0.6682,0.6308,0.6801,0.6428,2026-05-13 07:15:00,2026-05-13 08:15:00,6.55,Order block,4h,90210292
BTCUSDT,BUY,0.3169,59209.96,58897.35,58894.43,60049.32,2026-05-13 20:20:00,2026-05-13 21:20:00,22.46,Order block,1h,90210331
BTCUSDT,SELL,0.2442,54939.64,55326.9,55349.15,53908.29,2026-05-14 14:45:00,2026-05-14 15:45:00,16.16,FVG,4h,90210336
BTCUSDT,BUY,0.1807,58301.59,57791.94,57748.16,59854.84,2026-05-14 04:30:00,2026-05-14 05:30:00,12.59,Order block,4h,90210373
BTCUSDT,BUY,0.3037,62461.84,62133.47,62132.62,63486.76,2026-05-15 15:30:00,2026-05-15 17:55:00,22.7,Order block,5m,90210388
LINKUSDT,SELL,250.0,17.59,16.52,17.99,16.91,2026-05-15 15:05:00,2026-05-15 15:30:00,5.12,Liquidity sweep,5m,90210394
BTCUSDT,SELL,0.2721,65178.15,65551.84,65545.63,64387.05,2026-05-15 20:05:00,2026-05-15 21:05:00,21.34,BOS retest,5m,90210423
BTCUSDT,SELL,0.2119,55597.97,54928.5,56069.97,54492.7,2026-05-16 05:00:00,2026-05-16 07:25:00,14.05,FVG,5m,90210433
BTCUSDT,BUY,0.1967,65589.43,67000.19,65081.17,67213.28,2026-05-18 16:05:00,2026-05-18 18:30:00,15.65,Liquidity sweep,1h,90210467
ETHUSDT,SELL,3.3179,2914.0,2813.16,2944.14,2842.38,2026-05-18 13:05:00,2026-05-18 18:05:00,11.4,Liquidity sweep,5m,90210486
